"Id","Title","Excerpt","Description","Synonyms","Variations","Categories"
"","Lambert","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/lambert.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Lambert</strong>

<em>Witcher</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword summon"">Summon</span> Eskel and Vesemir from your deck to this row.
","","","gwent_card"
"","Myrgtabrakke","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/myrgtabrakke.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Myrgtabrakke</strong>

<em>Dragon</em>

<span class=""keyword deploy"">Deploy</span>: Damage 2 enemy units by 2.
","","","gwent_card"
"","Ocvist","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/ocvist.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Ocvist</strong>

<em>Dragon</em>

<span class=""keyword order"">Order</span>: Damage all enemy units by 1.
","","","gwent_card"
"","Olgierd von Everec","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/olgierd_von_everec.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Olgierd von Everec</strong>

<em>Human, Cursed</em>

<span class=""keyword order"">Order</span>: <span class=""keyword heal"">Heal</span> self.
<span class=""keyword cooldown"">Cooldown</span>: 1.
","","","gwent_card"
"","Operator","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/operator.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Operator</strong>

<em>Beast, Mage</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword spawn"">Spawn</span> and <span class=""keyword summon"">Summon</span> a base copy of a bronze unit from your hand to this row on each player's side.
","","","gwent_card"
"","Prize-Winning Cow","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/prizewinning_cow.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Prize-Winning Cow</strong>

<em>Beast</em>

<span class=""keyword order"">Order</span>: Transform into Chort.
","","","gwent_card"
"","Roach","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/roach.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Roach</strong>

<em>Beast</em>

Whenever you play a gold card, <span class=""keyword summon"">Summon</span> this unit from your deck to a random allied row.
","","","gwent_card"
"","Johnny","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/johnny.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Johnny</strong>

<em>Relict</em>

Whenever you play a special card, damage a random enemy unit by 2.
","","","gwent_card"
"","Sarah","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/sarah.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Sarah</strong>

<em>Relict</em>

Whenever you play a special card, boost a random allied unit by 2.
","","","gwent_card"
"","Francis Bedlam","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/francis_bedlam.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Francis Bedlam</strong>

<em>Human</em>

Every allied turn, on turn end, boost the lowest unit in your hand by 1.
","","","gwent_card"
"","Cyprian Wiley","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/cyprian_wiley.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Cyprian Wiley</strong>

<em>Human, Bandit</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword banish"">Banish</span> a unit with 3 or less power.
","","","gwent_card"
"","Iris von Everec","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/iris_von_everec.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Iris von Everec</strong>

<em>Human, Cursed</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Destroy an enemy artifact.
<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Clear all row effects from your side.
","","","gwent_card"
"","Unicorn","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/unicorn.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Unicorn</strong>

<em>Relict</em>

<span class=""keyword deploy"">Deploy</span>: Boost a unit by 3. If you control Chironex, double that amount.
","","","gwent_card"
"","Chironex","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/chironex.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Chironex</strong>

<em>Relict</em>

<span class=""keyword deploy"">Deploy</span>: Damage a unit by 3. If you control Unicorn, double that amount.
","","","gwent_card"
"","Duda: Companion","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/duda_companion.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Duda: Companion</strong>

<em></em>

<span class=""keyword doomed"">Doomed</span>.
Boost all units on a row by 1.
","","","gwent_card"
"","Duda: Agitator","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/duda_agitator.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Duda: Agitator</strong>

<em></em>

<span class=""keyword doomed"">Doomed</span>.
Damage all units on a row by 1.
","","","gwent_card"
"","Fiend","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/fiend.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Fiend</strong>

<em>Beast</em>

<span class=""keyword deploy"">Deploy</span>: Boost all <span class=""keyword deathwish"">Deathwish</span> units in your hand by 1.
","","","gwent_card"
"","Ragh Nar Roog","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/ragh_nar_roog.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Ragh Nar Roog</strong>

<em>Spell</em>

Apply this Row Effect:
Every enemy turn, on turn start, damage the highest unit on this row by 2.
","","","gwent_card"
"","The Last Wish","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/the_last_wish.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>The Last Wish</strong>

<em>Spell</em>

Look at the top 2 cards from your deck, then play one and <span class=""keyword banish"">Banish</span> the other.
","","","gwent_card"
"","Decoy","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/decoy.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Decoy</strong>

<em></em>

Shuffle an allied unit on the battlefield into your deck, then play the top unit from your deck.
","","","gwent_card"
"","Merigold's Hailstorm","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/merigolds_hailstorm.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Merigold's Hailstorm</strong>

<em>Spell</em>

Damage 5 enemy units by 2.
","Merigolds Hailstorm","","gwent_card"
"","Skellige Storm","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/skellige_storm.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Skellige Storm</strong>

<em></em>

Apply this Row Effect:
For 2 enemy turns, on turn start, damage all units on this row by 1.
","","","gwent_card"
"","Stammelford's Tremors","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/stammelfords_tremors.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Stammelford's Tremors</strong>

<em>Spell</em>

Damage all enemy units by 1.
","Stammelfords Tremors","","gwent_card"
"","Dimeritium Bomb","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/dimeritium_bomb.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Dimeritium Bomb</strong>

<em>Bomb</em>

Destroy an Artifact.
","","","gwent_card"
"","White Frost","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/white_frost.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>White Frost</strong>

<em></em>

Destroy all Artifacts.
","","","gwent_card"
"","Commander's Horn","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/commanders_horn.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Commander's Horn</strong>

<em></em>

Boost 5 adjacent units by 2.
","Commanders Horn","","gwent_card"
"","Vaedermakar","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/vaedermakar.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Vaedermakar</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Increase all row effect durations by 1.
<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Decrease all row effect durations by 1.
","","","gwent_card"
"","Alzur's Double-Cross","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/alzurs_doublecross.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Alzur's Double-Cross</strong>

<em>Spell</em>

Play the highest unit from your deck.
","Alzurs Double-Cross","","gwent_card"
"","Alzur's Thunder","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/alzurs_thunder.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Alzur's Thunder</strong>

<em>Spell</em>

Damage a unit by 5.
","Alzurs Thunder,Thunder","","gwent_card"
"","Biting Frost","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/biting_frost.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Biting Frost</strong>

<em></em>

Apply this Row Effect:
For 4 enemy turns, on turn start, damage the lowest unit on this row by 2.
","","","gwent_card"
"","Clear Skies","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/clear_skies.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Clear Skies</strong>

<em></em>

Clear all row effects from your side.
","","","gwent_card"
"","Impenetrable Fog","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/impenetrable_fog.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Impenetrable Fog</strong>

<em></em>

Apply this Row Effect:
For 4 enemy turns, on turn start, damage the highest unit on this row by 2.
","","","gwent_card"
"","Manticore Venom","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/manticore_venom.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Manticore Venom</strong>

<em>Organic</em>

Damage 3 enemy units by 3.
","","","gwent_card"
"","Adrenaline Rush","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/adrenaline_rush.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Adrenaline Rush</strong>

<em>Organic</em>

Boost an allied unit by 8 if there are no other units on that row.
","","","gwent_card"
"","Epidemic","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/epidemic.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Epidemic</strong>

<em></em>

Destroy a 4 provision cost unit.
","","","gwent_card"
"","Scorch","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/scorch.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Scorch</strong>

<em>Spell</em>

Destroy the highest-power unit.
<span class=""keyword initiative"">Initiative</span>: Destroy all highest-power units instead.
","","","gwent_card"
"","Swallow","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/swallow.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Swallow</strong>

<em>Alchemy</em>

Boost a unit by 6.
","","","gwent_card"
"","Thunderbolt","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/thunderbolt.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Thunderbolt</strong>

<em></em>

<span class=""keyword zeal"">Zeal</span>.
<span class=""keyword order"">Order</span>: Boost an allied unit by 3. 
<span class=""keyword charge"">Charge</span>: 2.
","","","gwent_card"
"","Torrential Rain","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/torrential_rain.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Torrential Rain</strong>

<em></em>

Apply this Row Effect:
For 4 enemy turns, on turn start, damage 2 random units on the row by 1.
","","","gwent_card"
"","An Craite Warcrier","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/an_craite_warcrier.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>An Craite Warcrier</strong>

<em>Human, Warrior</em>

<span class=""keyword Bloodthirst"">Bloodthirst</span> 1: At the end of your turn, boost self by 1.
","","","gwent_card"
"","Bekker's Dark Mirror","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/bekkers_dark_mirror.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Bekker's Dark Mirror</strong>

<em>Spell</em>

Choose a unit. If it's boosted, damage it by double the amount boosted. If it's damaged, boost it by double the amount damaged.
","Bekkers Dark Mirror","","gwent_card"
"","Renew","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/renew.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Renew</strong>

<em>Spell</em>

Play a unit from your graveyard with a provision cost of 9 or less and give it <span class=""keyword doomed"">Doomed</span>.
","","","gwent_card"
"","Dimeritium Shackles","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/dimeritium_shackles.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Dimeritium Shackles</strong>

<em>Alchemy</em>

<span class=""keyword lock"">Lock</span> a unit and damage it by 3.
","","","gwent_card"
"","Mardroeme","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/mardroeme.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Mardroeme</strong>

<em>Alchemy</em>

Damage a unit by 3, then boost it by 9.
","","","gwent_card"
"","Bloody Baron","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/bloody_baron.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Bloody Baron</strong>

<em>Human, Soldier</em>

<span class=""keyword formation"">Formation</span>.
<span class=""keyword order"">Order</span>: <span class=""keyword reset"">Reset</span> a unit.
<span class=""keyword inspired"">Inspired</span>: If it was boosted, give it <span class=""keyword bleeding"">Bleeding</span> for a duration equal to the amount of boost it lost.
","Baron","","gwent_card"
"","Vernon Roche","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/vernon_roche.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Vernon Roche</strong>

<em>Human, Soldier</em>

<span class=""keyword spying"">Spying</span>.
<span class=""keyword deploy"">Deploy</span>: Play the top 2 cards from your deck.
","","","gwent_card"
"","John Natalis","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/john_natalis.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>John Natalis</strong>

<em>Human, Soldier</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Play a Warfare card from your deck.
","","","gwent_card"
"","Lined Pockets","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/lined_pockets.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Lined Pockets</strong>

<em>Leader</em>

<span class=""keyword order"">Order</span>: Gain 1 <span class=""keyword coin"">Coin</span>. <span class=""keyword charge"">Charge</span>: 5
Whenever you play a Crime card, gain 1 <span class=""keyword coin"">Coin</span>.

This ability adds 16 provisions to your deck's provisions limit.
","","","gwent_card"
"","Shani","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/shani.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Shani</strong>

<em>Human</em>

<span class=""keyword formation"">Formation</span>.
<span class=""keyword order"">Order</span>: Give an allied unit <span class=""keyword vitality"">Vitality</span> for 1 turn and 1 <span class=""keyword armor"">Armor</span>. <span class=""keyword charge"">Charge</span>: 1
<span class=""keyword inspired"">Inspired</span>: Give an allied unit <span class=""keyword vitality"">Vitality</span> for 2 turns and 1 <span class=""keyword armor"">Armor</span> instead.
","","","gwent_card"
"","Triss: Butterflies","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/triss_butterflies.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Triss: Butterflies</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span>: Boost a random unit in your hand by 4.
","","","gwent_card"
"","Keira Metz","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/keira_metz.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Keira Metz</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span>: Give adjacent units <span class=""keyword vitality"">Vitality</span> for a duration equal to each of their base powers.
","Keira","","gwent_card"
"","Dandelion","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/dandelion.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Dandelion</strong>

<em>Human, Agent</em>

<span class=""keyword ranged"">Ranged</span>: Whenever an allied unit gains <span class=""keyword charge"">Charges</span>, boost it by 1 for each <span class=""keyword charge"">Charge</span> gained.
","","","gwent_card"
"","Priscilla","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/priscilla.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Priscilla</strong>

<em>Human, Agent</em>

<span class=""keyword formation"">Formation</span>.
<span class=""keyword order"">Order</span>: Give a unit 1 <span class=""keyword charge"">Charge</span>.
<span class=""keyword cooldown"">Cooldown</span>: 1.
<span class=""keyword inspired"">Inspired</span>: Give a unit 2 <span class=""keyword charge"">Charges</span> instead.
","","","gwent_card"
"","Thaler","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/thaler.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Thaler</strong>

<em>Human, Agent</em>

<span class=""keyword formation"">Formation</span>.
<span class=""keyword order"">Order</span>: Give 3 <span class=""keyword charge"">Charges</span> to an allied unit.
","","","gwent_card"
"","Ves","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/ves.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Ves</strong>

<em>Human, Soldier</em>

<span class=""keyword deploy"">Deploy</span>: Damage an enemy unit by 2.
<span class=""keyword order"">Order</span>: Give an allied unit <span class=""keyword zeal"">Zeal</span>.
","","","gwent_card"
"","Síle de Tansarville","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/síle_de_tansarville.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Síle de Tansarville</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span>: Damage an enemy unit by 2.
<span class=""keyword order"">Order</span>: Damage an enemy unit by 2.
","","","gwent_card"
